"name","file_system","mount_point","size","computer","provided_by","computer.disk_space","computer.name","computer.os","computer.used_for"
"eu-tibcobw-int:/home/esb/interfaces","nfs4","/home/interfaces/ESB_INT","100.0 GB","siai-gatwv01","","352","siai-gatwv01","Linux Red Hat","Preproduction"
"/dev/mapper/vg_root-lv_hometmp","xfs","/home/tmp","1014.0 MB","saeu-pprdv11","","222,45","saeu-pprdv11","Linux Red Hat","Preproduction"
"//SANA-ALTWP02/eDN_CA-P02","cifs","/ALTWP02_Archive_CA","200.0 GB","adc-al-lnx72","","1 118","adc-al-lnx72","Linux Red Hat","Production"
"/dev/mapper/vg_orabase5-lv_orabase5","ext4","/orabase5","1007.8 GB","EUR3-IT-SVXORA2","","39 062,67","EUR3-IT-SVXORA2","Linux Red Hat","Integration"
"/dev/mapper/vg00alt-tmpvol","ext4","/tmp","6.8 GB","argebzstgweb02","","301","argebzstgweb02","Linux Red Hat","Preproduction"
"/dev/mapper/vg_tsmveroot-lv_home","xfs","/home","122.7 MB","siai-tsmvp01","","104","siai-tsmvp01","Linux Red Hat","Production"
"/dev/mapper/sysvg-varvol","","/var","4.2 GB","adc-al-lnx46","","72","adc-al-lnx46","Linux Red Hat","Production"
"/dev/mapper/rootvg-lv_usr","ext4","/usr","6.0 GB","adc-al-lnx88","","527","adc-al-lnx88","Linux Red Hat","Development"
"/dev/mapper/vg_data-lv_homesplunk","ext4","/home/splunk","3.9 GB","saeu-madiv01","","200","saeu-madiv01","Linux Red Hat","Preproduction"
"/dev/mapper/vg_root-lv_var","xfs","/var","6.0 GB","saeu-opwcp01","","633","saeu-opwcp01","Linux Red Hat","Production"
"/dev/mapper/data_vg-lv_d01","ext4","/d01","147.5 GB","sanaspcdp01","","1 033","sanaspcdp01","Linux Red Hat","Production"
"uxadmin-alseis.eu.corp.airliquide.com:/vol/C3_PER_VUNIX/HomeDirs","nfs4","/home/users","40.0 GB","SIAI-ZPACD01","","105","SIAI-ZPACD01","Linux Red Hat","Preproduction"
"/dev/mapper/vg_root-lv_root","ext4","/","7.7 GB","saeu-moskv01","","200","saeu-moskv01","Linux Red Hat","Preproduction"
"10.192.32.38:/AGS_NFS_01/aghybrisprod/data/company/history","nfs4","/var/www/prod/arg-hybris/company/history","650.0 GB","argebzprdweb02","","741","argebzprdweb02","Linux Red Hat","Production"
"/dev/mapper/vg_root-lv_exploit","xfs","/home/exploit","252.7 MB","siai-hadmp01","","269","siai-hadmp01","Linux Red Hat","Production"
"gio_dc_iris_pprd:/vol/STD_VFDCAP01V_MP02/LIBS_Interfaces","nfs4","/home/interfaces/LIBS","99.0 GB","siai-gatwv01","","352","siai-gatwv01","Linux Red Hat","Preproduction"
